Invalid_Sched_for_Table: 1,Invalid_Sched_for_Table: 2,Invalid_Sched_for_Table: 3,Invalid_Sched_for_Table: 4,Invalid_Sched_for_Table: 5,Invalid_Sched_for_Table: 6,Invalid_Sched_for_Table: 7,Invalid_Sched_for_Table: 8,Invalid_Sched_for_Table: 9,Invalid_Sched_for_Table: 10,Invalid_Sched_for_Table: 11,Invalid_Sched_for_Table: 12,Invalid_Sched_for_Table: 13,Invalid_Sched_for_Table: 14,Invalid_Sched_for_Table: 15,Invalid_Sched_for_Table: 16,Invalid_Sched_for_Table: 17,Invalid_Sched_for_Table: 18,Invalid_Sched_for_Table: 19,Invalid_Sched_for_Table: 20,Invalid_Sched_for_Table: 21,Invalid_Sched_for_Table: 22,Invalid_Sched_for_Table: 23,Invalid_Sched_for_Table: 24,Invalid_Sched_for_Table: 25,Invalid_Sched_for_Table: 26,Invalid_Sched_for_Table: 27,Invalid_Sched_for_Table: 28,Invalid_Sched_for_Table: 29,Invalid_Sched_for_Table: 30,Invalid_Sched_for_Table: 31,Invalid_Sched_for_Table: 32,Invalid_Sched_for_Table: 33,Invalid_Sched_for_Table: 34,Invalid_Sched_for_Table: 35,Invalid_Sched_for_Table: 36,Invalid_Sched_for_Table: 37,Invalid_Sched_for_Table: 38,Invalid_Sched_for_Table: 39,Invalid_Sched_for_Table: 40,Invalid_Sched_for_Table: 41,Invalid_Sched_for_Table: 42,Invalid_Sched_for_Table: 43,Invalid_Sched_for_Table: 44,Invalid_Sched_for_Table: 45,Invalid_Sched_for_Table: 46,Invalid_Sched_for_Table: 47,Invalid_Sched_for_Table: 48,Invalid_Sched_for_Table: 49,Invalid_Sched_for_Table: 50,Invalid_Sched_for_Table: 51,Invalid_Sched_for_Table: 52,Invalid_Sched_for_Table: 53,Invalid_Sched_for_Table: 54,Invalid_Sched_for_Table: 55,Invalid_Sched_for_Table: 56,Invalid_Sched_for_Table: 57,Invalid_Sched_for_Table: 58,Invalid_Sched_for_Table: 59,Invalid_Sched_for_Table: 60,Invalid_Sched_for_Table: 61,Invalid_Sched_for_Table: 62,Invalid_Sched_for_Table: 63,Invalid_Sched_for_Table: 64,Invalid_Sched_for_Table: 65,Invalid_Sched_for_Table: 66,Invalid_Sched_for_Table: 67,Invalid_Sched_for_Table: 68,Invalid_Sched_for_Table: 69,Invalid_Sched_for_Table: 70,Invalid_Sched_for_Table: 71,Invalid_Sched_for_Table: 72,Invalid_Sched_for_Table: 73,Invalid_Sched_for_Table: 74,Invalid_Sched_for_Table: 75,Invalid_Sched_for_Table: 76,Invalid_Sched_for_Table: 77,Invalid_Sched_for_Table: 78,Invalid_Sched_for_Table: 79,Invalid_Sched_for_Table: 80,Invalid_Sched_for_Table: 81,Invalid_Sched_for_Table: 82,Invalid_Sched_for_Table: 83,Invalid_Sched_for_Table: 84,Invalid_Sched_for_Table: 85,Invalid_Sched_for_Table: 86,Invalid_Sched_for_Table: 87,Invalid_Sched_for_Table: 88,Invalid_Sched_for_Table: 89,Invalid_Sched_for_Table: 90,Invalid_Sched_for_Table: 91,Invalid_Sched_for_Table: 92,Invalid_Sched_for_Table: 93,Invalid_Sched_for_Table: 94,Invalid_Sched_for_Table: 95,Invalid_Sched_for_Table: 96,Invalid_Sched_for_Table: 97,Invalid_Sched_for_Table: 98,Invalid_Sched_for_Table: 99,Invalid_Sched_for_Table: 100
,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,TUES 500,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230
,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,TUES 515,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245
,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,SAT 115,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300
,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,SAT 130,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315
,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,SAT 145,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,WED 830,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330
,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,SAT 200,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,WED 845,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345
,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,SAT 215,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,WED 1000,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 1000,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400
,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,SAT 230,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,WED 1015,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 1015,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415
,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,SAT 245,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,WED 1245,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 1030,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430
,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,SAT 300,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,WED 100,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 1045,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445
,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,SAT 315,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,WED 230,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 1100,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500
,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,SAT 330,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,WED 245,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 1115,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515
,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,SAT 345,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,WED 415,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 1130,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530
,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,SAT 400,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,WED 430,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 1145,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545
,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,THURS 1115,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600
,,,,,,,,,,,,,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,THURS 1130,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,MON 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200
,,,,,,,,,,,,,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,,TUES 1215,TUES 1215,TUES 1215,TUES 1215,TUES 1215,TUES 1215,TUES 1215,TUES 1215,TUES 1215,TUES 1215,THURS 315,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,MON 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215
,,,,,,,,,,,,,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,THURS 330,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,MON 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230
,,,,,,,,,,,,,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,FRI 715,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,MON 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245
,,,,,,,,,,,,,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,FRI 730,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,MON 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100
,,,,,,,,,,,,,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,FRI 1100,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,MON 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115
,,,,,,,,,,,,,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,FRI 1115,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,MON 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130
,,,,,,,,,,,,,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,FRI 1245,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,MON 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145
